3548;NULL;SOC. ANONIMA;19781216;20200310;SOGAMOSO;C;2599; Fabricacion de otros productos elaborados de metal n.c.p.;FABRICACION DE PRODUCTOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;INDUSTRIAS Y MANUFACTURERAS;29499637000;0;AFILIADO;180;MEDIANA
3557;NULL;PERSONA;19800118;20200625;SOGAMOSO;C;1811; Actividades de impresion;CARPINTERIAS Y EBANISTERIAS;INDUSTRIAS Y MANUFACTURERAS;32800000;0;AFILIADO;1;MICRO
3770;NULL;SOC. ANONIMA;19790608;20200630;SOGAMOSO;Q;8699; Otras actividades de atencion de la salud humana;ACTIVIDADES APOYO A SALUD;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;52427910450;0;AFILIADO;1;GRANDE
4224;NULL;PERSONA;19800327;20200624;SOGAMOSO;G;4663; Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion;FERRETERÍAS, VIDRIERIAS Y PINTURAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;45357708;0;AFILIADO;1;PEQUEÑA
4246;NULL;PERSONA;19800331;20200319;SOGAMOSO;G;4772; Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados;COMERCIO DE CALZADO;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;50000000;0;NO AFILIADO;1;PEQUEÑA
4291;NULL;SAS;19800418;20200702;SOGAMOSO;G;4690; Comercio al por mayor no especializado;COMERCIO DIVERSOS PRODUCTOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;486635000;0;AFILIADO;1;PEQUEÑA
4312;NULL;PERSONA;19800424;20200318;SOGAMOSO;G;4751; Comercio al por menor de productos textiles en establecimientos especializados;COMERCIO ROPA Y TEXTILES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;24640000;0;NO AFILIADO;1;PEQUEÑA
4387;NULL;PERSONA;19800508;20200319;SOGAMOSO;G;4664; Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario;PRODUCTOS QUIMICOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;3500000;0;NO AFILIADO;1;PEQUEÑA
4623;NULL;PERSONA;19801024;20200701;SOGAMOSO;G;4769; Comercio al por menor de otros articulos culturales y de entretenimiento n.c.p. enestablecimientos especializados;ARTICULOS DEPORTIVOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;900000;0;NO AFILIADO;1;MICRO
4815;NULL;SOC. EN COMANDITA SIMPLE;19810401;20200702;SOGAMOSO;L;6810; Actividades inmobiliarias realizadas con bienes propios o arrendados;INMOBILIARIAS / ARRENDAMIENTOS;ACTIVIDADES INMOBILIARIAS;1184185000;0;NO AFILIADO;1;PEQUEÑA
4889;NULL;PERSONA;19810508;20200316;SOGAMOSO;C;2410; Industrias basicas de hierro y de acero;FABRICACION DE PRODUCTOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;INDUSTRIAS Y MANUFACTURERAS;550000;0;NO AFILIADO;1;MICRO
4969;NULL;PERSONA;19810601;20200625;SOGAMOSO;C;1081; Elaboracion de productos de panaderia;PANADERIAS;INDUSTRIAS Y MANUFACTURERAS;9000000;0;NO AFILIADO;4;MICRO
5000;NULL;PERSONA;19830411;20200702;SOGAMOSO;G;4752; Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados;FERRETERÍAS, VIDRIERIAS Y PINTURAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;580364000;0;NO AFILIADO;4;PEQUEÑA
5178;NULL;PERSONA;19810817;20200703;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;700000;0;NO AFILIADO;1;MICRO
5239;NULL;PERSONA;19810911;20200703;SOGAMOSO;G;4761; Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados;PAPELERIAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;515362000;0;NO AFILIADO;3;PEQUEÑA
5534;NULL;PERSONA;19820219;20200630;SOGAMOSO;G;4541; Comercio de motocicletas y de sus partes  piezas y accesorios;COMERCIO DE MOTOCICLETAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;561931000;0;NO AFILIADO;1;PEQUEÑA
5785;NULL;PERSONA;19820608;20200228;SOGAMOSO;C;3314; Mantenimiento y reparacion especializado de equipo electrico;MANTENIMIENTO ELECTRONICO / ELECTRICO;INDUSTRIAS Y MANUFACTURERAS;1100000;0;AFILIADO;1;MICRO
5880;NULL;PERSONA;19870211;20200127;SOGAMOSO;I;5630; Expendio de bebidas alcoholicas para el consumo dentro del establecimiento;TIENDAS Y BARES;ALOJAMIENTO Y SERVICIOS DE COMIDA;3125000;0;NO AFILIADO;1;PEQUEÑA
5906;NULL;PERSONA;19820816;20200211;SOGAMOSO;G;4751; Comercio al por menor de productos textiles en establecimientos especializados;COMERCIO ROPA Y TEXTILES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;6110000;0;NO AFILIADO;1;PEQUEÑA
5918;NULL;PERSONA;19820820;20200618;SOGAMOSO;G;4541; Comercio de motocicletas y de sus partes  piezas y accesorios;COMERCIO DE MOTOCICLETAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1222785752;0;NO AFILIADO;1;PEQUEÑA
5934;NULL;PERSONA;19820830;20200311;SOGAMOSO;C;2511; Fabricacion de productos metalicos para uso estructural;FABRICACION DE PRODUCTOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;INDUSTRIAS Y MANUFACTURERAS;44950000;0;AFILIADO;3;MICRO
5994;NULL;PERSONA;19820917;20200618;SOGAMOSO;G;4772; Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados;COMERCIO DE CALZADO;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;22265000;0;NO AFILIADO;1;PEQUEÑA
6015;NULL;SOC. LIMITADA;19820924;20200318;NOBSA;G;4731; Comercio al por menor de combustible para automotores;COMERCIO DE COMBUSTIBLES Y ADICIONALES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1751427026;0;NO AFILIADO;8;PEQUEÑA
6074;NULL;PERSONA;19880210;20200117;SOGAMOSO;G;4731; Comercio al por menor de combustible para automotores;COMERCIO DE COMBUSTIBLES Y ADICIONALES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;59250000;0;NO AFILIADO;1;PEQUEÑA
6098;NULL;SOC. LIMITADA;19821027;20200225;SOGAMOSO;N;7911; Actividades de las agencias de viaje;AGENCIAS DE VIAJE Y TURISMO;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO;139057000;0;AFILIADO;3;PEQUEÑA
6177;NULL;PERSONA;19821201;20200218;SOGAMOSO;R;9311; Gestion de instalaciones deportivas;DEPORTE Y ESPARCIMIENTO;ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREACION;6500000;0;NO AFILIADO;1;PEQUEÑA
6342;NULL;PERSONA;19830228;20200130;SOGAMOSO;G;4530; Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores;AUTOPARTES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;23938000;0;AFILIADO;1;PEQUEÑA
6480;NULL;PERSONA;19830302;20200303;NOBSA;C;1312; Tejeduria de productos textiles;PREPARACIÓN HILATURA, TEJEDURÍA Y ACABADO DE PROD. TEXTILES;INDUSTRIAS Y MANUFACTURERAS;1200000;0;NO AFILIADO;1;MICRO
6534;NULL;PERSONA;19930115;20200306;SOGAMOSO;G;4520; Mantenimiento y reparacion de vehiculos automotores;MANTENIMIENTO Y REPARACION DE VEHICULOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;9300000;0;AFILIADO;2;PEQUEÑA
6582;NULL;PERSONA;19830330;20200129;SOGAMOSO;I;5630; Expendio de bebidas alcoholicas para el consumo dentro del establecimiento;TIENDAS Y BARES;ALOJAMIENTO Y SERVICIOS DE COMIDA;1500000;0;NO AFILIADO;1;PEQUEÑA
